Unnamed: 0,Scientific Name,Common Name,Order,Family,Role in Ecosystem
0,Cicindela purpurea,purple tiger beetle,Coleoptera,Carabidae,Predator
1,Geometra papilionaria,Large emerald,Lepidoptera,Geometridae,Unknown/Not Available
2,Arctia caja,Garden Tiger Moth,Lepidoptera,Erebidae,Pollinator
3,Ctenoplusia oxygramma,sharp stigma looper moth,Lepidoptera,Noctuidae,Pest
4,Anthidium manicatum,European Wool Carder Bee,Hymenoptera,Megachilidae,Pollinator
5,Eristalis transversa,"transverse-banded flower fly,",Diptera,Syrphidae,Pollinator
6,Destolmia lineata,Streaked Notodontid,Lepidoptera,Notodontidae,Pest
7,Pseudagrion pilidorsum,Red Sprite,Odonata,Coenagrionidae,Predator
8,Vanessa carye,Western Painted Lady,Lepidoptera,Nymphalidae,Pollinator
9,Poecilanthrax lucifer,Bee Fly,Diptera,Bombyliidae,Parasitoid
10,Xylotrechus colonus,Rustic Borer,Coleoptera,Cerambycidae,Pest
11,Eumorpha satellitia,Satellite sphinx,Lepidoptera,Sphingidae,Pollinator
12,Anthrenus verbasci,Varied Carpet Beetle,Coleoptera,Dermestidae,Pest
13,Phoebis philea,Orange-barred sulphur,Lepidoptera,Pieridae,Pollinator
14,Toxomerus politus,Maize Calligrapher,Diptera,Syrphidae,Pollinator
15,Ormenoides venusta,flatid planthopper,Hemiptera,Flatidae,Pest
16,Adalia decempunctata,"Ten-Spotted Ladybird, Ten-Spotted Lady Beetle",Coleoptera,Coccinellidae,Predator
17,Erythemis vesiculosa,	Great Pondhawk,Odonata,Libellulidae,Predator
18,Acronicta superans,Splendid Dagger Moth,Lepidoptera,Noctuidae,Pollinator
19,Lestes sponsa,emerald damselfly,Odonata,Lestidae,Predator
20,Anax junius,"Green Darner, Common Green Darner",Odonata,Aeshnidae,Predator
21,Orthetrum pruinosum,crimson-tailed marsh hawk,Odonata,Libellulidae,Predator
22,Smyrna blomfildia,Blomfild's beauty,Lepidoptera,Nymphalidae,Pollinator
23,Cactophagus spinolae,"Large Cactus Weevil,Prickly Pear Weevil",Coleoptera,Curculionidae,Pest
24,Periplaneta americana,american cockroach,Blattodea,Blattidae,Pest
25,Neotibicen tibicen,"Swamp Cicada, Morning Cicada",Hemiptera,Cicadidae,Unknown/Not Available
26,Macrodiplax balteata,marl pennant ,Odonata,Libellulidae,Predator
27,Mycalesis mineus,Dark Brand Bush Brown Butterfly,Lepidoptera,Nymphalidae,Pollinator
28,Phyllocnistis populiella,"The common aspen leaf miner, aspen serpentine leafminer",Lepidoptera,Gracillariidae,Pest
29,Rosalia funebris,banded alder borer,Coleoptera,Cerambycidae,Decomposer
30,Glycaspis brimblecombei,red gum lerp psyllid,Hemiptera,Aphalaridae,Pest
31,Cantharis fusca,soldier beetle,Coleoptera,Cantharidae,"Predator, pollinator"
32,Nicrophorus tomentosus,Tomentose Burying Beetle,Coleoptera,Silphidae,Decomposer
